p_id,p_message,p_created_time
1098837086877710_1412008235560592,https://www.facebook.com/groups/TLUK29/permalink/846752515478720/,2017-06-14T14:06:23+0000
1098837086877710_1407771905984225,"[THÔNG BÁO NGHỈ HỌC]
LỚP TIN ĐẠI CƯƠNG (GIỜ 8-10, A703) NGHỈ HỌC NGÀY HÔM NAY 12/06/2017
LỊCH HỌC BÙ, GIÁO VIÊN SẼ THÔNG BÁO TỚI CÁC BẠN SAU.
XIN CẢM ƠN",2017-06-12T07:02:56+0000
1098837086877710_1407079856053430,"[Thông tri triệu tập Đại biểu dự Đại hội trù bị và Đại hội Đoàn]
1) Họp trù bị cho Đại hội Đoàn vào thứ 2 (12/6) lúc 18h00(Phòng B101 nhé .)
2) Đại hội Đại biểu chính thức vào thứ 6 (16/6) lúc 7h00
P/s: 
- Trưởng đoàn có trách nhiệm đôn đốc, quản lý thành viên trong đoàn
- Đoàn trường sẽ làm giấy miễn điểm danh cho sinh viên tham gia trùng lịch học vào sáng thứ 6 (16/6)
- Nếu đại biểu có tên trong danh sách mà không đi thì sẽ bị nhà trường kỉ luật và trừ điểm rèn luyện năm học 2016 - 2017
Mọi chi tiết liên lạc với cô Nguyễn Trung Thùy Linh - Bí thư Đoàn trường - ĐT 0975852082",2017-06-11T17:03:55+0000
1098837086877710_1379427628818653,Giờ e biết phải làm sao @$$%%,2017-05-16T12:19:39+0000
1098837086877710_1378801548881261,Cơ hội cho các bạn sv toán tin.,2017-05-15T03:36:27+0000
1098837086877710_1378336282261121,đi bơi đi. sáng thứ 3 đc nghỉ cùng nhau đi bơi đê :v Lương Minh Nghĩa,2017-05-14T14:44:22+0000
1098837086877710_1373676796060403,Các bạn sinh viên bảo lưu kết quả học tập xem thông báo nhé,2017-05-11T12:00:48+0000
1098837086877710_1375081215919961,"VỀ KHÓA HỌC IOT
Các bạn, phòng lab IOT sắp khánh thành vậy mình dự kiến mở một số lớp học liên quan đến IOT các bạn đăng ký theo form để mình tính toán nhé: 
QUYỀN LỢI:
- Thay thế cho môn thực tập tốt nghiệp (với các bạn sắp ra trường) - chỉ áp dụng cho khóa đầy đủ 3 nội dung. 
- Thay thế cho nội dung một môn học (thay thế môn học nào phải chờ quyết định của bộ môn - mình thông báo sau)
THỜI GIAN HỌC:
- Buổi học trong tuần: Dự kiến chiều thứ 3  hoặc chiều thứ 5
- Cuối tuần: Sáng hoặc Chiều thứ 7
- Tối: Giờ 10-12
GIÁO VIÊN:
-Cô Nga, Cô Huệ, Thầy Hùng + Thầy Tân TC+ Trợ giảng là một số thành viên Câu lạc bộ tin học.
HỌC PHÍ:
- Miễn phí với trường hợp sinh viên học để biết thêm kiến thức.
- Thay thế môn học (đóng học phí của môn học)
DỤNG CỤ THỰC HÀNH
- Sử dụng miễn phí tại phòng Lab

Các đăng ký nhé dựa vào đăng ký mình sẽ gặp mặt và thống nhất lịch học.
https://drive.google.com/open?id=1hbzDoRFezghLvKurrbDNkYdwHdWBvE7kRl5g8Hom9FA

--->>>CÁC BẠN SINH VIÊN K29 THÌ ĐĂNG KÝ KHÓA EMBEDDED ĐÃ NHÉ. SAU ĐÓ HỌC THÊM KHÓA KHÁC SAU.",2017-05-11T08:50:20+0000
1098837086877710_1359133180848098,Cô và Thầy Hùng mời toàn bộ các bạn sinh viên đang có ý định chuyển khoa của TI29 gặp mặt nói chuyện chút vào 9h sáng mai t3 ngày 24/4/17 tại sảnh tầng 7 nhé,2017-04-24T08:44:08+0000
1098837086877710_1356742261087190,Mộc An Chi shared Thang Long Information Technology Club's post to the group: Toán Tin K29-TLU.,2017-04-21T15:57:32+0000
